ID,Centrality,Optimality,Node,Module
BTNt2Int,0.07738290523603182,0.15733754037239153,Astrocyte,Central
ALDH1L1,0.7757215565934008,5.166070346260353e-16,Astrocyte,Central
AASAD3m,0.7615864525980203,0.05294369411532057,Astrocyte,Hyper
ACACt2m,0.8934342089789646,1.423685251673738e-17,Astrocyte,Hyper
ACACt2m,0.8934342089789646,1.423685251673738e-17,Astrocyte,Hyper
ACt2m,0.8816335140467841,1.423685251673738e-17,Astrocyte,Hyper
BETALDHxm,0.7604480529320933,9.491235011158273e-18,Astrocyte,Hyper
BTNt2,0.08297942012383727,7.213338608480288e-15,Astrocyte,Hyper
BTNt2m,0.8843481374721237,2.845094663209406e-32,Astrocyte,Hyper
BTNt2m,0.8843481374721237,2.845094663209406e-32,Astrocyte,Hyper
D-LACtm,0.8729056923089553,1.423685251673738e-17,Astrocyte,Hyper
L-LACtm,0.873657550863863,0.2316318208042137,Astrocyte,Hyper
P45011A1m,0.8240268480592522,0.254508384757564,Astrocyte,Hyper
PYRt2m,0.8845002578341493,3.1795637287379933e-16,Astrocyte,Hyper
SSALxm,0.7732745777417783,0.24074095757367886,Astrocyte,Hyper
BTNt2Int,0.07738290523603182,0.15733754037239153,Astrocyte,Hyper
