ID,Sensitivity,Flux,Node type,total
LCADi_Dm,0.09559313845952844,0,Astrocyte,0.09559313845952844
GCC2bim,0.0955931384595266,0,Astrocyte,0.0955931384595266
GCCbim,0.0955931384595266,0,Astrocyte,0.0955931384595266
PROD2m,0.09236690168139318,0,Astrocyte,0.09236690168139318
PRO1xm,0.08945010681678646,0,Astrocyte,0.08945010681678646
PYRt2r_Int,0.08680866587348109,0,Astrocyte,0.08680866587348109
sink_tyr-L(m)_Neuron,0.07638500393186803,0,Terminal,0.07638500393186803
ADPRDPm,0.06386370767950153,0,Astrocyte,0.06386370767950153
AASAD3m,0.052943694115320586,0,Astrocyte,0.052943694115320586
ASNt4,0.043281074730148215,0,Astrocyte,0.043281074730148215
ASNt4_Int,0.043281074730148215,0,Astrocyte,0.043281074730148215
ALDD2x_Neuron,0.0423115408675274,0,Neuron,0.0423115408675274
3DPHBH2_Neuron,0.04231154086752686,0,Neuron,0.04231154086752686
ACOAD1fm_Neuron,0.04231154086752679,0,Neuron,0.04231154086752679
LSOProd_Neuron,0.04231154086752677,0,Neuron,0.04231154086752677
Htm_Neuron,0.042311540867526705,0,Neuron,0.042311540867526705
ICDHxm_Neuron,0.04231154086752646,0,Neuron,0.04231154086752646
GLUDym_Neuron,0.042311540867526413,0,Neuron,0.042311540867526413
EX_o2s(e),0.04231154086752619,0,Exchange,0.04231154086752619
L-LACtm_Neuron,0.04231154086752445,0,Neuron,0.04231154086752445
EX_btn(e),0.04231154086752433,0,Exchange,0.04231154086752433
SERt4_Int,0.03564676468208343,0,Astrocyte,0.03564676468208343
SERt4,0.03564676468208341,0,Astrocyte,0.03564676468208341
GLUDym,0.032483779603356355,0,Astrocyte,0.032483779603356355
ICDHxm,0.03248377960335564,0,Astrocyte,0.03248377960335564
Htm,0.03248377960335507,0,Astrocyte,0.03248377960335507
MMSAD3m,0.030982730418854926,0,Astrocyte,0.030982730418854926
DM_ahcys_Neuron,0.028366175824142588,0,Terminal,0.028366175824142588
ATPtm,0.022932679057345556,0,Astrocyte,0.022932679057345556
PCREATtmdiffir,0.022932679057345556,0,Astrocyte,0.022932679057345556
LSOProd,0.02254895615401662,0,Astrocyte,0.02254895615401662
DM_ahcys,0.021727838673219826,0,Terminal,0.021727838673219826
SPODMm,0.020084125593157923,0,Astrocyte,0.020084125593157923
