,ID,cell,AbsoluteC,mean_shift_clusters
118,ASPTAm,Astrocyte,0.0183741474930786,0
119,ATPtm,Astrocyte,0.0368527007388426,0
120,BACCLm,Astrocyte,0.7253082537430118,2
121,BALAVECSEC,Astrocyte,0.0620000870825256,0
122,BALAVECSECInt,Astrocyte,0.0561643081023444,0
123,BALAtmr,Astrocyte,0.001487619778389,0
124,BAMPPALDOXm,Astrocyte,0.84876726103685,1
125,BDHm,Astrocyte,0.6909606191025534,2
126,BETALDHxm,Astrocyte,0.8560061859770984,1
127,BHBt,Astrocyte,0.0509790995846973,0
128,BHBtInt,Astrocyte,0.0428425322547242,0
129,BHBtm,Astrocyte,0.8900922887208529,1
130,BTNDm,Astrocyte,0.1598909431128319,3
131,BTNPLm,Astrocyte,0.6627790519519187,2
132,BTNt2,Astrocyte,0.0495907627308598,0
133,BTNt2Int,Astrocyte,0.0428425322547294,0
134,BTNt2m,Astrocyte,0.9030587344922396,1
135,BTNt4i,Astrocyte,0.0495907627308923,0
136,BTNt4iInt,Astrocyte,0.0428425322547366,0
137,C160CPT2,Astrocyte,0.0112041757071524,0
138,C160CRNt,Astrocyte,0.0077090094738997,0
139,C204CPT2,Astrocyte,0.0051243309055191,0
140,C226CPT2,Astrocyte,0.0051243309055342,0
141,C2M26DCOAHLm,Astrocyte,0.1480130140038042,3
142,CATm,Astrocyte,0.1591783246172337,3
143,CBLATm,Astrocyte,0.7114636864203374,2
144,CDPDAGtm,Astrocyte,0.0074619113513471,0
145,CDSm,Astrocyte,0.6646022870397325,2
146,CHSTEROLt3,Astrocyte,0.0284204472296663,0
147,CITRtm,Astrocyte,0.007491706307712,0
148,CITtam,Astrocyte,0.0006103197309814801,0
149,CITtbm,Astrocyte,0.0011633326206503,0
150,CK,Astrocyte,0.0160453539461988,0
151,CKc,Astrocyte,0.0080314760896607,0
152,CO2t,Astrocyte,0.0129924979033268,0
153,CO2tInt,Astrocyte,0.0010752643196722,0
154,CO2tm,Astrocyte,0.0010384739789892,0
155,COQ3m,Astrocyte,0.6516735192604921,2
156,COQ5m,Astrocyte,0.6481291839470344,2
157,COQ6m,Astrocyte,0.1596615029587612,3
158,COQ7m,Astrocyte,0.8087437977677104,1
159,COUCOAFm,Astrocyte,0.0604546916559587,0
160,CPPPGO,Astrocyte,0.0524274591608775,0
161,CREATtmdiffir,Astrocyte,0.0030098383160397,0
162,CRNt,Astrocyte,0.0222589303398193,0
163,CRNtInt,Astrocyte,0.0042782296286126,0
164,CRNtim,Astrocyte,0.0642075451223589,0
165,CSNAT2m,Astrocyte,0.0025047084764314,0
166,CSNATm,Astrocyte,0.011109362592428,0
167,CSm,Astrocyte,0.8932449390644812,1
168,CYANSTm,Astrocyte,0.6830183075157955,2
169,CYANt,Astrocyte,0.0318876564801427,0
170,CYANtInt,Astrocyte,0.0131081622647038,0
171,CYANtm,Astrocyte,0.0732160627134883,3
172,CYSGLUexR,Astrocyte,0.001320541080604,0
173,CYSGLUexRInt,Astrocyte,0.0013359794485063,0
174,CYSGLYex,Astrocyte,0.0007365262670189689,0
175,CYSGLYexR,Astrocyte,0.000736526267046628,0
176,CYSGLYexInt,Astrocyte,0.000553570940499274,0
177,CYSO,Astrocyte,0.0555907318968815,0
178,CYSTAm,Astrocyte,0.0083062225594181,0
179,CYStec,Astrocyte,0.0005236148060796055,0
180,CYStecInt,Astrocyte,0.0005093951690513696,0
181,CYTK1m,Astrocyte,0.0131175163435132,0
182,DLACt2,Astrocyte,0.0509790995845777,0
183,DLACt2Int,Astrocyte,0.0428425322547221,0
184,DLACtm,Astrocyte,0.8900922887208531,1
185,DAKm,Astrocyte,0.0007199359160600485,0
186,DCKm,Astrocyte,0.016727385561766,0
187,DDPGAm,Astrocyte,0.0012136832168945,0
188,DECDPtm,Astrocyte,0.0298290660857752,0
189,DGKm,Astrocyte,0.0167273855617634,0
190,DGNSKm,Astrocyte,0.7200647086284169,2
191,DGSNt,Astrocyte,0.0080318062384743,0
192,DGSNtInt,Astrocyte,0.0062251951998668,0
193,DGSNtm,Astrocyte,0.0462130239685583,0
194,DHDPBMTm,Astrocyte,0.6508566244762827,2
195,DHFtm,Astrocyte,0.0284079857224307,0
196,DPHMBDCm,Astrocyte,0.707488402877156,2
197,DTKm,Astrocyte,0.0189574385238753,0
198,DURIK1m,Astrocyte,0.7286508022534741,2
199,DUTPDPm,Astrocyte,0.8225440752340132,1
200,ECOAH12m,Astrocyte,0.1482262195352645,3
201,ECOAH1m,Astrocyte,0.1659846896707553,3
202,ECOAH9m,Astrocyte,0.1569707652759212,3
203,EHGLAT2m,Astrocyte,0.0017084600096277,0
204,EHGLATm,Astrocyte,0.0141717767307428,0
205,ETF,Astrocyte,0.0012051648116484,0
206,ETFQO,Astrocyte,0.001003225063971,0
207,ETOHMO,Astrocyte,0.0516143552446605,0
208,ETOHt,Astrocyte,0.0138267334782287,0
209,ETOHtInt,Astrocyte,0.000917917798899478,0
210,FALDtm,Astrocyte,0.0285116923232738,0
211,FCLTm,Astrocyte,0.6484136888109553,2
212,FE2t,Astrocyte,0.0115024244448624,0
213,FE2tInt,Astrocyte,0.0017656239587478,0
214,FE2tm,Astrocyte,0.8913992509478375,1
215,FORt2m,Astrocyte,0.0285603048833833,0
216,FPGS2m,Astrocyte,0.7880937497428944,1
217,FPGS3m,Astrocyte,0.7880332996888152,1
218,FPGS4m,Astrocyte,0.7880671502255228,1
219,FPGS5m,Astrocyte,0.7876476622081956,1
220,FPGS6m,Astrocyte,0.7880332798273264,1
221,FPGS7m,Astrocyte,0.7881359720067018,1
222,FPGS8m,Astrocyte,0.7880930230021501,1
223,FPGS9m,Astrocyte,0.7880332996495765,1
224,FPGSm,Astrocyte,0.7925788919091132,1
225,FTHFLm,Astrocyte,0.0524965271627431,0
226,FUMSO3tm,Astrocyte,0.0006909448796084888,0
227,FUMSO4tm,Astrocyte,0.001605727220157,0
228,FUMTSULtm,Astrocyte,0.0006341585297634797,0
229,FUMm,Astrocyte,0.1628353723763528,3
230,FUMtm,Astrocyte,0.018044262788911,0
231,G5SDym,Astrocyte,0.7108474058644623,2
232,G6PDH2r,Astrocyte,0.0837866130960568,3
233,GCALDDm,Astrocyte,0.8560061859770987,1
234,GCC2am,Astrocyte,0.7028997241977811,2
235,GCC2bim,Astrocyte,0.0033842836372536,0
236,GCC2cm,Astrocyte,0.6899272415813015,2
237,GCCam,Astrocyte,0.7028997241977812,2
238,GCCbim,Astrocyte,0.0033842836372946,0
239,GCCcm,Astrocyte,0.6899272415813014,2
240,GGNG,Astrocyte,0.0541838347334575,0
241,GHMT2rm,Astrocyte,0.1685011571537474,3
242,GHMT3m,Astrocyte,0.6538863569517285,2
243,GLACOm,Astrocyte,0.8560061859770987,1
244,GLBRAN,Astrocyte,0.003111579246686,0
245,GLCt1r,Astrocyte,0.0007328830254242382,0
246,GLCt2r,Astrocyte,0.0504223925970929,0
247,GLCt2rInt,Astrocyte,0.0426194527147289,0
248,GLDBRAN,Astrocyte,0.0108381704538719,0
249,GLGNS1,Astrocyte,0.054081023037429,0
250,GLNS,Astrocyte,0.0539959702072528,0
251,GLNtN1,Astrocyte,0.0492927841441988,0
252,GLNtN1Int,Astrocyte,0.0511907721112032,0
253,GLNtm,Astrocyte,0.0008305869227382072,0
254,GLPASE1,Astrocyte,0.0043075494712951,0
255,GLPASE2,Astrocyte,0.0106105474749598,0
256,GLU5Km,Astrocyte,0.0423132671752533,0
257,GLUDxm,Astrocyte,0.8965265281129762,1
258,GLUDym,Astrocyte,0.853352191016021,1
259,GLUNm,Astrocyte,0.22708253065373,4
260,GLUTCOADHm,Astrocyte,0.7221833671781319,2
261,GLUVESSEC,Astrocyte,0.0622810074630431,0
262,GLUt2m,Astrocyte,0.9320810631844536,1
263,GLUt6,Astrocyte,0.0509250883797003,0
264,GLUt6Int,Astrocyte,0.0581450675617662,0
265,GLYATm,Astrocyte,0.0007021868879758137,0
266,GLYCLTDym,Astrocyte,0.64908871699829,2
267,GLYCt,Astrocyte,0.0318752941686425,0
268,GLYCtInt,Astrocyte,0.0130965785551353,0
269,GLYCtm,Astrocyte,0.0732179432136135,3
270,GLYKm,Astrocyte,0.7229094854190234,2
271,GLYOXm,Astrocyte,0.8035703453272625,1
272,GLYt2r,Astrocyte,0.0498518839342198,0
273,GLYt2rInt,Astrocyte,0.0431575883612278,0
274,GLYtm,Astrocyte,0.0013879011634481,0
275,GND,Astrocyte,0.0056173171568163,0
276,GTHOm,Astrocyte,0.6569920820147852,2
277,GTHPm,Astrocyte,0.1654150858297689,3
278,H2CO3Dm,Astrocyte,0.219038220077105,4
279,H2O2t,Astrocyte,0.0159425416509458,0
280,H2O2tInt,Astrocyte,0.0004631829037317685,0
281,H2O2tm,Astrocyte,0.0017210592173565,0
282,H2Ot,Astrocyte,0.0060072749850701,0
283,H2OtInt,Astrocyte,0.0040108831892503,0
284,H2Otm,Astrocyte,0.1927120754360273,4
285,HACD1m,Astrocyte,0.689663824424626,2
286,HACD9m,Astrocyte,0.688607198284326,2
287,HBZOPT10m,Astrocyte,0.0335580229802705,0
288,HCO3Em,Astrocyte,0.8544811819229354,1
289,HIBDm,Astrocyte,0.6919107872348846,2
290,HMBS,Astrocyte,0.0096902287934911,0
291,HMGCOASim,Astrocyte,0.8992416326648532,1
292,HMGLm,Astrocyte,0.0025022031146244,0
293,HPROxm,Astrocyte,0.6888230207745338,2
294,Ht,Astrocyte,0.0493147251670308,0
295,HtInt,Astrocyte,0.0428425322547292,0
296,Htm,Astrocyte,0.8900922887208509,1
297,ICDHxm,Astrocyte,0.0926941557236938,3
298,ICDHyrm,Astrocyte,0.0571729056147539,0
299,ILETA,Astrocyte,0.0191019871175888,0
300,ILETAm,Astrocyte,0.0096382750693583,0
301,ILEt5m,Astrocyte,0.0003735372728445729,0
302,ILEtec,Astrocyte,0.0165516925953952,0
303,ILEtecInt,Astrocyte,0.0008193435377969985,0
304,IMACTDm,Astrocyte,0.8560061859770987,1
305,ITCOAL1m,Astrocyte,0.0384362825988669,0
306,ITCOALm,Astrocyte,0.0657968279507865,0
307,Kt1r,Astrocyte,0.0006078610836573871,0
308,Kt1rInt,Astrocyte,0.0010227969848596,0
309,LLACt2r,Astrocyte,0.0510537437924799,0
310,LLACt2rInt,Astrocyte,0.0427735680995117,0
311,LLACtm,Astrocyte,0.8907302675969564,1
312,LCADiDm,Astrocyte,0.8560061859771015,1
313,LCADim,Astrocyte,0.8566054913792234,1
314,LCYSTATm,Astrocyte,0.010774364176309,0
315,LDHL,Astrocyte,0.0541689044934518,0
316,LDHLm,Astrocyte,0.6951646714058035,2
317,LEUTA,Astrocyte,0.0191019871233832,0
318,LEUTAm,Astrocyte,0.0096383335751621,0
319,LEUt5m,Astrocyte,0.0003735372693787488,0
320,LEUtec,Astrocyte,0.0165516925964864,0
321,LEUtecInt,Astrocyte,0.0008193435325289331,0
322,LSOProd,Astrocyte,0.0090133481956441,0
323,LYStiDF,Astrocyte,0.0017512161886722,0
324,LYStiDFInt,Astrocyte,0.0005608968512148355,0
325,LYStm,Astrocyte,0.9040541533812552,1
326,LacLtm,Astrocyte,0.0011021063131701,0
327,MALSO3tm,Astrocyte,0.0007742574303996521,0
328,MALSO4tm,Astrocyte,0.0021188397752167,0
329,MALTSULtm,Astrocyte,0.0006196487911018781,0
330,MALtm,Astrocyte,0.0227939149401447,0
331,MCCCrm,Astrocyte,0.7598672065921812,2
332,MDH,Astrocyte,0.0560081792943862,0
333,MDHm,Astrocyte,0.698780097399509,2
334,MECOALm,Astrocyte,0.0657968279507855,0
335,MECOAS1m,Astrocyte,0.0384362825988657,0
336,MGCHrm,Astrocyte,0.1576280996829504,3
337,MMCDm,Astrocyte,0.7092202075016468,2
338,MMEm,Astrocyte,0.0017141658572956,0
339,MMMm,Astrocyte,0.00038554573494773065,0
340,MMSAD1m,Astrocyte,0.1009997760987821,3
341,MMSAD3m,Astrocyte,0.1111267367160782,3
342,MTDNAdpolym,Astrocyte,0.808134670858203,1
343,MTDNAploym,Astrocyte,0.0038601426193738,0
344,MTHFCm,Astrocyte,0.8143369480513944,1
345,MTHFDm,Astrocyte,0.0183833202420995,0
346,NABTNOm,Astrocyte,0.8560061859770981,1
347,NDPK1,Astrocyte,0.002096670342766,0
348,NDPK10m,Astrocyte,0.0131175163435092,0
349,NDPK1m,Astrocyte,0.0157627556418439,0
350,NDPK2m,Astrocyte,0.0131175163435227,0
351,NDPK3m,Astrocyte,0.016416730904694,0
352,NDPK4m,Astrocyte,0.0133538436870935,0
