ID,gene,cell
BACCLmNeuron,3141,Neuron
BACCLmNeuron,3141,Neuron
BALAVECSECNeuron,140679,Neuron
BALAVECSECNeuron,140679,Neuron
BALAtmrNeuron,,Neuron
BAMPPALDOXmNeuron,8854,Neuron
BAMPPALDOXmNeuron,8854,Neuron
BAMPPALDOXmNeuron,501,Neuron
BAMPPALDOXmNeuron,224,Neuron
BAMPPALDOXmNeuron,223,Neuron
BAMPPALDOXmNeuron,8854,Neuron
BAMPPALDOXmNeuron,216,Neuron
BAMPPALDOXmNeuron,8659,Neuron
BAMPPALDOXmNeuron,219,Neuron
BAMPPALDOXmNeuron,217,Neuron
BDHmNeuron,622,Neuron
BDHmNeuron,622,Neuron
BDHmNeuron,622,Neuron
BDHmNeuron,622,Neuron
BETALDHxmNeuron,,Neuron
BHBtNeuron,,Neuron
BHBtmNeuron,,Neuron
BHBtmNeuron,,Neuron
BTNDmNeuron,686,Neuron
BTNDmNeuron,686,Neuron
BTNPLmNeuron,3141,Neuron
BTNPLmNeuron,3141,Neuron
BTNPLmNeuron,3141,Neuron
BTNPLmNeuron,3141,Neuron
BTNt2Neuron,6566,Neuron
BTNt2Neuron,6566,Neuron
BTNt2mNeuron,6566,Neuron
BTNt2mNeuron,6566,Neuron
BTNt2mNeuron,6566,Neuron
BTNt2mNeuron,6566,Neuron
BTNt4iNeuron,80704,Neuron
BTNt4iNeuron,80704,Neuron
C160CPT2Neuron,1374,Neuron
C160CPT2Neuron,1376,Neuron
C160CPT2Neuron,1376,Neuron
C160CRNtNeuron,788,Neuron
C160CRNtNeuron,788,Neuron
C204CPT2Neuron,1376,Neuron
C204CPT2Neuron,1376,Neuron
C226CPT2Neuron,1376,Neuron
C226CPT2Neuron,1376,Neuron
C2M26DCOAHLmNeuron,3030,Neuron
C2M26DCOAHLmNeuron,3032,Neuron
C2M26DCOAHLmNeuron,549,Neuron
CATmNeuron,847,Neuron
CATmNeuron,847,Neuron
CBLATmNeuron,166785,Neuron
CDPDAGtmNeuron,,Neuron
CDSmNeuron,8760,Neuron
CDSmNeuron,1040,Neuron
CDSmNeuron,8760,Neuron
CDSmNeuron,8760,Neuron
CDSmNeuron,1040,Neuron
CDSmNeuron,8760,Neuron
CHSTEROLt3Neuron,,Neuron
CHSTEROLt3Neuron,10948,Neuron
CHSTEROLt3Neuron,19,Neuron
CHSTEROLt3Neuron,64241,Neuron
CHSTEROLt3Neuron,64240,Neuron
CITRtmNeuron,83884,Neuron
CITRtmNeuron,10166,Neuron
CITRtmNeuron,83884,Neuron
CITtamNeuron,6576,Neuron
CITtamNeuron,6576,Neuron
CITtbmNeuron,6576,Neuron
CITtbmNeuron,6576,Neuron
CKNeuron,1160,Neuron
CKNeuron,548596,Neuron
CKNeuron,1159,Neuron
CKNeuron,1152,Neuron
CKNeuron,1158,Neuron
CKNeuron,1633,Neuron
CKNeuron,57419,Neuron
CKNeuron,25769,Neuron
CKNeuron,123041,Neuron
CKNeuron,123041,Neuron
CKNeuron,123041,Neuron
CKNeuron,9187,Neuron
CKNeuron,5105,Neuron
CKNeuron,5106,Neuron
CKNeuron,1160,Neuron
CKNeuron,1159,Neuron
